,Sentences
87,We have lots of competitors in general and from a market perspective I think we continue to look at leveraging all of the capabilities we have whether it’s
88,things like the category management we talked about to make sure we have got the best cost on products or its revenue management tool
89,", so we make sure that we are pricing products appropriately in the marketplace and making sure we are taking care of our customers"
90,We still feel really good about obviously our ability to grow and our ability to do it in the right way
91,and I think that’s really what you are seeing
92,I don’t think there is any specific thing that’s happened in addition to that
93,"This is really about a balanced approach, making sure we are focused the right levers of the business that starts with that local customer where we can incremental value and doing the things that help basically get recognized and rewarded by them for providing the right products and the right services in a right way"
94,So I don’t think there is anything beyond that that you should read into it
95,"So on the contract side, as I said earlier, I think you will see us showing some improvement in those numbers as we get into fiscal year 2018, because of the both lapping some of the decision were made last year and also we have some new business that will be coming on"
96,"So, I think you should feel like there will be some improvement there"
97,"Regarding the local business, I mean we continue to feel really good about how we are positioned and as we talked about why we feel like we are able to succeed in that space has really more to do with how we are focused on delivering the value for those customers"
98,I did say in my prepared comments about our loyalty score is going up
99,"And I think one of the things as we think about what drove that, we talk to our customers a lot and what we have heard was everything from they are feeling about our marketing associates and continuing to add a lot of value through our selling resources and that means we are accomplishing the things we said, which is making them much more capable on and be more consultative and how they are working with our customers"
100,"We also heard good things around our technology platform, so I think we feel really good about the types of strides we are making the strategic initiatives we have been talking about"
101,And so I think to us that’s confirmation that the things we are trying to do for these customers is working
