,Sentences
41,We also introduced the Dash Cam 45 and 55 offering high-quality recording in an ultra-compact form factor
42,We remain focused on disciplined execution to bring desired innovation to the market and to maximize profitability in the segment
43,"Okay, finally, before turning the call over to Doug, I wanted to mention the recognition we recently received from Forbes Magazine ranking us among the Top 100 Most Reputable Companies In America"
44,I'm pleased to work very hard to make Garmin the best at everything we do and to operate the business with integrity
45,It's a special honor for all of us to be recognized in this way
46,"So, that concludes my remarks"
47,"Next, Doug will walk you through additional details of our financial results"
48,"Yeah, I think, for outdoor and marine, the first quarter tends to be the lowest quarter particularly in outdoor and marine"
49,it's a little higher
50,Aviation is more sequential
51,"In aviation, we did see some benefit from increased mandate activity, some of which are expiring"
52,"So, just looking forward, we felt like it's best to maintain where we're at until we have more clarity around second quarter"
53,"Yeah, definitely the demographics are changing, particularly around the fÄ“nix 5S model, which was designed specifically around the female adventure audience"
54,"And the data we're getting back through our online registrations and of course our cloud platform, Garmin Connect, suggests that we're being very successful with that"
55,"Thanks, Charlie"
56,It's about even
57,"No, I wouldn't say it's due to shortness at all"
58,We are preparing for what has become â€
59,“ Q2 has become nearly as big as Q4 in terms of its overall contribution
60,"And we do have some new product ramps such as the fÄ“nix 5, which are driving additional inventory"
61,"I think our goal is to have in-stock situation, so that we can ship to any customer that wants our products during high season"
62,And we'll continue to manage it pragmatically then throughout the rest of the year
63,"Thanks, Simona"
64,I think it's a revenue split
65,"So, on the memory prices, definitely, there's a tighter market and prices have been going up"
66,We have some longer term buying arrangements that have allowed us to continue at more favorable pricing during the first part of the year
67,"We do expect to see some impact towards the later half of the year, but we think the impact will be minimal"
68,"In terms of ad spending, Q1, we basically have reserved a lot of our activity until Q2."
69,"So, I would expect that to increase sequentially and possibly a little year-over-year as well"
70,"But since Q2 is one of the higher quarters, we're going to be promoting our more popular wearables particularly during the quarter"
71,"Yeah, we were pleased"
72,"We outperformed our expectations for sure and, as I mentioned, there is some mandates particularly around EMS helicopters that drove some sales, plus we did have very popular aftermarket products that also performed well along with ADS-B"
73,Thanks so much
74,"Well, just to clarify, fitness consists of both the wearable fitness trackers as well as the running watches and then bike"
75,"But in terms of overall, its contribution, we saw sharply lower revenues in the quarter and offset by very strong growth in the running products"
76,I think â€
77,“ we don't break it out by segment for sure
78,"but as we expected when we came into Q1 based on what we saw in the latter half of 2016, activity trackers were down sharply"
79,I think there's probably lots of different reasons for that
80,and I think there'll be obviously more color around that even as we move through the day
81,But it seems like there's a lot of inventory in the channel particularly with market leaders that's being worked through
82,"And as that clears and as new products get in such as our vÃ­vosmart 3, we believe that it will moderate as the year goes forward"
83,"Yeah, we have a strong roadmap on the basic trackers, as we've evidenced by the release of our initial products this year"
84,"We have additional products coming but obviously, we're taking a pragmatic approach to the investment and applying it where we see the most opportunity"
85,"I think definitely we're pleased with the initial response, and it's not just a matter of low supply, we've been delivering in very nice quantities, for sure"
86,But the orders and the reorders have been very strong
87,"So, it's going to take some time to work through all of the orders that we have"
88,"Well, it'll definitely mix up because the higher-end devices tend to have the higher gross margin"
89,"So, we would expect it will have an overall positive impact on gross margin percentage and operating margin percentage"
90,"Well, I think our product lines particularly in marine and also I mentioned some strength in aviation too, but our product lines are very strong"
91,"We've been keeping them fresh and, as a result, we believe that customers are seeing the value and the differentiation that Garmin brings to the market"
92,"Keep in mind, these are both very niche segments, without a lot of dynamics in terms of the overall channel and the consumer"
93,"So, consequently, I think obviously there's some limit to what the potential growth trajectory looks like over the long term"
94,But our goal is to be the market share leader and to continue to be able to grow with the market
95,"Thanks, Paul"
96,I think a lot of it's going to depend again on product and segment mix
97,"In Q1, we had the benefit of higher than expected growth in marine and aviation, which mixed to be overall consolidated up more"
98,"As we move into Q2, which is seasonally higher and sequentially higher, we'll see how that mix develops both in terms of segments and products"
99,"So, we really didn't pre-announce any of the products in Q1."
100,We were basically ready to ship when we announce the products
101,"So, we didn't see any market impact from announcements that impacted order"
102,"That said with the new products, we've seen excitement around those and we're encouraged by the follow-through in the market on these new products"
103,"So, on the OEM side of aviation, I would say, it's business as usual from what we've been reporting for a while now"
104,The overall OEM side of the business as has been widely reported by many players has been kind of lethargic in terms of the market
105,"We're doing, I would say, okay"
106,"But, we kind of move along with the ups and downs of our OEM partners"
107,We do have the benefit of some newer platforms that we're still comp-ing against from last year
108,"So, that's an incremental benefit but in general OEM continues to be somewhat sluggish"
109,"Yeah, Ben, in terms of impact from the Apple Watch, we are also seeing steep growth in our advanced wearable category"
110,It doesn't seem to us that there is an impact from the Apple Watch
111,We have said before that we believe the customer-base for the Apple Watch versus our devices are slightly different
112,"So consequently, I think we're seeing a strong performance and even some pull through from their success as people see the opportunity for improved health and for pursuing active lifestyles"
113,And they probably recognize then that Garmin offers strong products for those pursuits
114,Thank you
115,We don't break it out by product categories
116,But we were pleased with what we're able to deliver in Q1.
117,"Yeah, let's say, it's still a very large market"
118,It's still a market that is adjacent to our interest in the overall active lifestyles
119,"And so, it's an area that we still have a lot of interest in"
120,That's correct
121,Yes
122,No
123,We don't break it down more than that
124,"So, DeLorme is actually recognized in the outdoor segment and the majority of our growth in outdoor was driven by wearables with less than half of that really coming from DeLorme"
125,Thank you
