,Sentences
78,"That has some kind of volatility around some of the convention markets around the United States, and I think, a little bit to a lesser extent here in Las Vegas, but we've seen that trend occurring"
79,"The reality to that is they're actually driving a lot more delegates per convention obviously, as they consolidate the number of conventions"
80,"So, we see bigger spikes in convention attendance rather than what we had seen before"
81,"As an example, we literally last week just finished Microsoft"
82,"They were in here, it was amazing for better part of a week"
83,"That's a convention as you know, we didn't have last July, and it was highly successful for us"
84,"So, I think the only â€“"
85,"and I'll turn it over to others if they see anything differently, but the only thing we see a little bit differently is how companies are handling their convention business"
86,Every other segment â€“
87,"and by the way, we're still going to be up in conventions, and we're still doing extremely well"
88,"And Las Vegas, I think is the beneficiary of this, because we're a better value destination"
89,"Every other segment is up: leisure for us, will drive you more people for our own channels, which is more profitable to us, our FIT business, the casino was very strong, and that's why total revenue per occupied room was up nicely in the quarter"
90,I'll turn it over to Corey for that
91,"Yeah, I'd just add to that part, Corey"
92,"Obviously, we are well aware of the CRM softwares that are out there, salesforce"
93,"com being one that Caesars is using, and other companies have different techniques"
94,We have our own CRM
95,It's going to evolve and one of the things that has been a benefit of the Borgata acquisition has been â€
96,“ they've had a very strong CRM process in place at Borgata
97,"And we're taking that learning, and Tom Ballance, who is now in corporate with us, is leading the team with Anton Nikodemus and a variety of our best leaders here, including Marcus Glover, who is going to be running Borgata to make it a company-wide decision on improving analytics, and artificial intelligences and CRM"
98,"But that's exactly what Corey is referring to by changing the channels on the non-gaming side this year, and being able to do more process, marketing on the gaming side"
99,"We've been able to increase our revenue per occupied room, which is why you see a really good slot handle, and you see good table volume, it would have been more evident if we had just held normally, but even with lower hold, it benefited us"
100,So thank you
101,It's a good way to kind of step back and look at what we're trying to accomplish here
102,One is obviously to drive free cash flow and I will get into that more
103,"But certainly, we're accelerating our free cash flow generation in our operations this year versus last"
104,and we think next year significantly more
105,But adding to free cash flow comes the other levers that we have
106,One of the major levers that we have is MGP
107,We were really clear when we brought MGP public
108,"a couple Aprils ago that National Harbor which has a ROFO, it would be an asset that we would like to transact with, with MGP"
109,We also said that we'd like to have a few quarters under National Harbor's belt before we entered into those negotiations
110,"Well, we have a few quarters under our belt right now, so I would think that it would be logical to assume that a transaction would be more in the near term than the long term between MGM and MGP"
111,"That, if done properly, and we expect it would if we do it, would have a profoundly positive impact on MGM Resorts in terms of its liquidity and its cash and squarely fits with the overall arching belief that we need to return cash to our shareholders"
112,"MGP is out on the prowl on a variety of other transactions, some of which will not involve MGM, but others very likely could"
113,"And recall that we're opening up Springfield, Massachusetts,"
114,"next year, I think in September or August and that obviously is a candidate for MGP as well"
115,The other lever that we have is clearly through asset sales
116,There has been a significant level of interest on The Strip right now
117,There is really strong chatter around the Fontainebleau being sold with a hotel flag that will be put on it
118,"We're not involved, to be clear"
119,"But that would be a good sign for the market, if people are willing to invest a lot of money to try to bring that property to life"
120,And we own assets as well
121,We own Circus Circus
122,We own the Mandarin at CityCenter and several other assets that we always look to find out what we should do in terms of our best interests
123,"In terms of other levers that we have, clearly CityCenter itself with another record quarter is generating a significant amount of cash"
124,"We will continue to return that cash to its shareholders, Infinity World and MGM"
125,"And of course, once we open up in Cotai, MGM China should turn into a significant free cash flow generator beginning next year"
126,"So, the levers that we have in front of us that we're constantly trying to maximize are number one, free cash because our CapEx is going to roll over and be very minimal going forward; two, asset sales or other ways of monetizing assets; three, dividends from our ventures"
127,That's a good question that hasn't been asked of us before
128,"But yes, I feel like if there is â€"
129,“ I got to talk to our board about this â€
130,"“ but if there is a significant one-time event that would generate a tremendous amount of cash to MGM Resorts, that would impact our decision making versus free cash flow that is steadily and rapidly growing"
131,"And yes, we've been very clear on capital allocation and shareholder"
132,returns
133,"We started with dividends, quarterly dividends"
134,We expect that we'll be able to increase our quarterly dividend over time
135,But that share repurchase also will be part of our discussion at the board level
136,"And if we have a significant windfall, which I think we will, one or two of them, over the next couple years, we'd be more immediate in our transferring that windfall to shareholders than rapidly growing free cash flow"
137,Thank you
138,"Yeah, and I think maybe, I don't want to cut you off, Dan, but I think that that's exactly right"
139,"Because our convention mix is growing and becoming more profitable to us and because we see a strong convention calendar in 2018 and 2019, and because we're expanding our convention facilities right now at Aria and at MGM, and you weave that together with the expansion already at Mandalay that sets up a much stronger foundation for us to look at the rest of our rooms"
140,"From the rest of our rooms' perspective, we're becoming more intelligent about how we can shift leisure into transient"
141,And that requires software that we're deploying
142,"It requires a different philosophy which we're also deploying, but it also is as a result of the fact that we're more confident in our overall occupancies than before"
143,And that's
144,"I guess the point that should be always made is that all of us out here, our competitors and ourselves, run these resorts at mid 90s occupancy"
145,That's why RevPARs is so misleading
146,It's not about occupying the buildings
147,"It's about occupying the buildings in a way that will generate the most profit to the resorts, not just to the hotel department of the resorts"
148,The combination of this and the loyalty CRM marketing that's going to have an impact
149,â€“ increasing impact on the casino side is going to provide a revenue and profit growth that we did not anticipate when we started this about a year ago
150,"I guess three years, 2.5 half years is the earliest, but I would say three years"
151,And I guess the point I'd make
152,I love this town
153,"We don't have as many rumors in Las Vegas as Macau, but we do hold our own that it would be more hotel centric than anything else"
154,"And obviously, up near a expanding and upgraded convention center, that would be very positive for the town and positive for Northern properties like Mirage and Circus Circus, of course"
155,"And I think that knowing what we know about our own portfolio, the level of interest we're getting on assets that are not already owned by MGP is very high"
156,"And we're a transactional company, and so I do expect that there will be opportunities, like we did with Crystals opportunistically to sell that asset at very attractive cap rate"
157,", I think there'll be other opportunities to monetize without changing the overall trajectory of what we're trying to accomplish here"
158,"Yeah, I mean that's obviously"
159,yes
160,"One, I think we should start talking about Aria as part of our family more"
161,I mean people look at Aria
162,is like a separate than the rest of our portfolio
163,But we run Aria as we run any other property in terms of moving a business around and having customers make their decision
164,So that I think Cathy's point is a good one
165,But we anticipated a tough comp
166,That's why we had said in the second quarter that our gaming revenue is like going to down
167,We didn't anticipate 500 basis-point decrease in hold year-over-year
168,"But we're going to have a tremendous amount of gaming volume coming in, in August"
169,"If people don't understand the impact on fights and this is not just a fight but a spectacle, just kind of watch TV"
170,We've had a lot of people that said we're coming in August that did not come in June or July
171,They're coming in August and that will help
172,"So I think that our feeling about gaming volumes here in town in terms of our own and our competitors is quite solid, particularly on the Far East side"
173,"And the standpoint of looking at what drivers that are events, and to have two fights in one quarter is something we've never had before"
174,So we're hopeful that that has a gaming impact that we could be proud of
175,I'll start and then anyone can jump in
176,"One is our convention business looks like it will be at least as good, if it not better, in '18 versus '17."
177,"That's the base that I was referring to, and it's the manifestation of some conventions that I was alluding to before that have shifted from '17 into '18 as some of the big companies have consolidated some of their convention business"
178,That's going to actually help us in '18.
179,That's the first point
180,Second point is we'll have the benefit of the expansions of our conference facilities at Aria and emerging at MGM
181,That certainly helps captures much of the incremental business as we can
182,"Thirdly, we're converting Monte Carlo, which has been at our lower end of our RevPAR, our ADR spectrum into Park MGM and NoMad, which will be at the upper end of our ADR spectrum in our portfolio"
183,"That will have a very, I think, nice impact not only on that resort but the neighborhood"
184,and we own the neighborhood
185,"And so driving higher ADRs in New York, New York, driving better mix throughout that campus will be effective"
186,"The third, I would not ignore the fact that we're having our first professional sports team start in a couple months"
187,"The Golden Knights will be playing later this year throughout early '18, which sets up for very strong sports calendars that we expect to have in '18 and beyond, increasing sporting events to Las Vegas, whether it's more college, and/or more pros will have a big impact on the market"
188,And we should do better than most on that
189,The airlines are â€
190,"“ they're talking positively about '18 in terms of coming into McCarran, and the convention center itself, the Las Vegas Convention Center is also talking about a better year"
191,So those are some of the macros that I know
192,I don't if you have any others?
193,"That was a good point, Corey"
194,"Anything else, Dan, on that?"
195,50 basis points to 100 basis points
196,"And I think we always will, Dan"
197,"I mean I think the point that we've made to folks is that when you own 42,000 hotel rooms here and you're driving this business for cash flow and to try to increase revenues going forward, you're going to,"
198,"within the CapEx contours that we've stated, which we would reaffirm, we're able to reposition properties within a couple year period of time as we straddle years in terms of CapEx to dramatically increase profitability"
199,"It does have an impact in the near term at the property itself, like it is at Monte Carlo, but we have the benefit of having 10 resorts out here"
200,"And so we feel like we can drive revenue, margin growth, profitability even when one property is undergoing this type of transformation"
201,And it won't be the last one we do
202,"If we are successful in converting Monte Carlo to Park MGM as we expect and get the kind of returns on investment that are going to be outsized relative to other investments that we can make, we'll look at another property to tackle in the out years"
203,"And so I think that's part of portfolio management in terms of trying to drive revenue, profitability, and long-term growth while you are focusing on free cash"
204,There are a bunch in there
205,We can all jump in in different ones
206,"One is, we usually don't borrow conventions, we steal and keep them"
207,And I think it unlikely that we'll lose anything back to the Moscone Center
208,"In fact, we haven't so far"
209,"So, we'll see"
210,"But once people get here and they see the value proposition, and they see the delegation attendance up 20%, 30% versus the other host city, they tend to only, generally do not leave, but we'll see"
211,"The 19% reflects the fact CON/AGG is not here next year, so actually that we would say would be a very good outcome for our company"
212,and it's not the ceiling to it
213,", it's just what our projection is at this point in time because of what we see on the books and the fact, we're expanding our convention facilities"
214,You want to take the RevPAR one Corey or Dan?
215,"And so the ADR, I mean, the RevPAR connection between RevPAR, what Robin was asking and profitability, you want to explain that?"
216,"I mean, it's the margin on the incremental non-gaming room"
217,is higher because of our channel shift
218,"And also these customers, not only gaming, but these customers spend a lot more money in entertainment, whether it's in our nightlife or food and beverage, our shows in general"
219,"They're becoming more sports oriented which is a focus of ours, event driven, park theater, so it's not only improving the gaming side without having â€"
220,"“ our comp levels haven't changed by the way, Robin, on that point, but it's improving our non-gaming non-hotel revenue"
221,It depends on who won
222,"I'll start, maybe Grant, if in case Grant is asleep"
223,We have not made our
224,Okay
225,We've not made our submission yet in terms of tables
226,That is something you do towards the end of the process
227,"We have focused a lot and you can see it on in our investor deck on the nongaming components to COTAI, which we believe are transformational in that market"
228,"It's very unique, particularly on the entertainment side, which we are noted for"
229,All that plays into the government's decision around table allocations
230,and we're going to do the best we can on that and based on what we get
231,", Grant will decide how to move tables around"
232,"Chad Beynon - Macquarie Capital (USA), Inc"
233,"Thanks very much, Jim"
234,You're welcome
235,So I just like to wrap up and say thank you for joining us
236,I'm proud of the effort in the second quarter in terms of executing on our plan
237,"We're excited about the current quarter, having the second biggest fight of all time, it's a kind of fun"
238,"I'm excited about how in shape Mayweather is, I saw him in his gym"
239,"a couple of nights ago, and I'm excited about what we have happening in the second half of the year"
240,"We're very clear on our direction here at the company in terms of maximizing our free cash flow, our capital expenditures are defined and declining and are unchanged from what we discussed with our community several times"
241,We believe that results in significant growth in free cash and we intend to return that free cash to our shareholders
242,We have multiple levers ahead of us and some of them are imminent and that will enhance the overall return on capital to our shareholders as it relates to transactions that we talked about today
243,National Harbor couldn't be doing better from our perspective and is perfectly positioned to ultimately be owned by MGP
244,"CityCenter is performing at an outstanding level, and also, is well-positioned to return more capital to its owners and perhaps provide more asset opportunities in terms of disposition"
245,"Macau is right around the corner in terms of the opening of COTAI and the impact of having such a beautiful property that we think will be very successful, the impact that will have to the MGM China shareholders"
246,"We will continue to build the company for the long-term but continue to reward our shareholders throughout this journey, and we will do so in the ways that have articulated"
247,And I think that that will increase the value of the enterprise significantly over time
248,"And with that, I'd like say thank you very much for joining us today"
249,We're excited about the back half of the year and into 2018 and beyond
250,"And as always, we're ready to take any of your questions"
251,"So, please give us a call"
