,Sentences
108,The public's vacation desires changed and we needed to shift with them
109,We shifted our design focus from trying to be yacht-like to being more like hotels
110,"We started to design ships with more spacious public areas, better outfitting and more amenities onboard"
111,"We wanted the ships to feel more opened, to have more things to do and to have more luxurious feel of a modern hotel"
112,Our design metaphor changed from trying to seem like a yacht to feeling more like a full-service hotel
113,"Again, that fit in nicely with trends and consumer interests and it resulted in better sales"
114,"Now, over the last decade or so, travel habits have further changed and our ship designs have shifted yet again"
115,Consumers now want a more active vacation and more things to do and to experience
116,"In response, we changed our design metaphor from trying to be like hotels to being more like cities"
117,"Today, our ships have more of the features of cities with a cornucopia of activities, amenity and design"
118,We don't simply check the box with bars and restaurants and discos; we talk about designing parks and gardens and neighborhoods and quiet spaces
119,We model our medical facilities on urgent-care facilities
120,Our specialty restaurants compare to anything you will find on land
121,We have every stripe of nightlife
122,You can sail with us for seven nights and never experiencing the same things twice
123,"And again, adjusting our products to suit the changing wishes of the consumer has paid off in a very nice way"
124,Our guests really enjoy the broader choice in amenities that the new ships offer
125,"And again, accommodating these wishes has resulted in improved demand for our product"
126,"At the same time, we have also focused on doing a better job of integrating the shipboard experience with the destinations and the cultural enrichment"
127,"Ironically, as we continue to offer more and more options for the guest on the ship, their appetite for new experiences off the ship has grown as well"
128,We are taking many steps to satisfy this area too
129,"And again, we believe that accommodating such desires drives improvements to our bottom line"
130,The result of all this evolution has been that cruising and people's vacation habits have evolved together
131,Vacation habits have evolved over the years and we have evolved our offerings to suit
132,"This has made cruising a more relevant and important vacation for more and more people, nirvana"
133,"Now, all of this change in consumers' vacation preferences and in our products has driven a major change in the way we view our customers and in the way our customers view us"
134,This may be one of the more profound changes in our industry for a long time
135,"To understand this profound shift, we have to look at historical approaches"
136,"For many years, old and outdated misconceptions about cruising were common in the population"
137,Many consumers thought of cruising through the lens of outdated stereotypes
138,"We, in the industry, often complained about the inaccuracy of such misconceptions and our marketing was geared to correct the image"
139,This sense of not being properly understood pervaded our industry and profoundly influenced all of our communications
140,"But then, a strange thing happened"
141,The evolution of consumers' changing tastes and of our changing product converged
142,The prevalence of these old erroneous perceptions has waned
143,"In effect, we have won the perception war"
144,We have crossed the tipping point and we are moving beyond it
145,"Yes, there are still many people out there who suffer from these old misperceptions, but their numbers are dwindling every day"
146,"Today, while this issue remains an issue at the margin, cruising has now firmly established itself as a relevant and a desirable vacation option for consumers generally"
147,"This is especially true as we look at the younger generation, who have embraced cruising as never before"
148,"For example, one independent study performed by the Harris organization asked people whether cruising is perfect for them or very good or whatever"
149,"In the last six years, the percentage of respondents who state that cruising is perfect or a very good fit has almost doubled"
150,Even more exciting is the fact that the percent of millennials giving that answer has risen even more quickly
151,You can see that on slide 2 graphically
152,"Now, I'm not suggesting that these misconceptions don't still exist"
153,We know that they do
154,and we won't be happy until everyone understands what a great vacation cruising offers and why it is relevant to them
155,"Nevertheless, we believe that cruising has moved into a new arena and that the increasing relevance of cruise in peoples' holiday plans is partially responsible for the improved environment that we are and have been experiencing"
156,We are proud to have been a part of this transition and we intend to continue pressing the envelope so that this trend will continue to expand
157,"Looking forward, we believe this increased demand will play an important part of the supply/demand equation as we enter a period with somewhat higher supply coming online"
158,"2017 has been a particularly strong year with a good economy, good consumer confidence driving high demand"
159,Our forward bookings for next year would indicate a continuation of yield growth
160,"However, it would be naÃ¯ve of us to continue to assume that the unusually strong 2017 would continue indefinitely"
161,"Now, before I turn the call back to Jason, I'd like to comment on some of the other changes happening in our business"
162,"This past August, we cut steel for our new Quantum Ultra Class ship and we confirmed the ship's name, Spectrum of the Seas"
163,"Like its sister ships, Quantum of the Seas and Ovation of the Seas, she is destined for the Chinese market, where she will make her debut in 2019."
164,This is our 10th year in the China market
165,"While this market has recently experienced bumps in the road, we believe that the significant investments we have made, the management team we have developed and the assets that we have deployed put us in a strong leadership position"
166,We remain committed to this strategic part of the world and we believe it will continue to pay good dividends
167,"Now, I also can't wait to show off our new arrivals next year, Symphony of the Seas, which is arriving in spring of 2018, and Celebrity Edge, which debuts in the fall of 2018."
168,"We also recently announced that Azamara Pursuit will join our Azamara Club Cruises brand, which increases our capacity there and upgrades our capabilities"
169,"We are also introducing two major fleet renovation programs for our Royal and Celebrity brands, Royal Amplified and Celebrity Revolution"
170,We believe that these major upgrading efforts will help further solidify our position as leader in hardware and in innovation
171,"With so much going on, you can see why we are excited about the future"
172,"Before I turn the microphone back to Jason, I want to express again my appreciation and my admiration to all of our employees who worked so hard and with such skill at delivering fantastic vacations to so many"
173,"With their support, the future is indeed bright"
174,Jason?
175,"Steven, it's Richard, and if I could just add something to that, and yes, we won't hate you, but first of all, I think there aren't many companies that are giving three-year targets with â€"
176,“ you said only 11% to 12% growth rates
177,I think that's pretty good in the first place
178,But I also think â€
179,“ I like to emphasize that these programs really aren't intended to be financial targets for the investment community
180,"This is something that really that we use for our employees, for ourselves to drive how we manage the business"
181,"And it's really intended to focus on the drivers of success, on the good performance of our fleet, the satisfaction of our guests, the engagement of our crew, et cetera"
182,"And so, the financial metrics come out of that, but internally, I think that was really the success of the Double- Double, was it got everybody pushing to the things that would make us successful"
183,"And so, I would just emphasize that"
184,I understand it needs to have that financial metrics as well and those are important and that's also part of what we need to communicate to our people
185,But I would just like to say
186,", I think we feel quite good about the 2020 program and think it will drive us to continue to excel"
187,I think Adam maybe would comment on that
188,"So, hi, Jamie"
189,Most of that are the two ship modernization programs that you cited
190,It's been something and we found we've been very successful with that in some of the ones we've been doing over the last few years
191,"So, this is a continuation of that"
192,Some of the things that we've done on our newer ships are just really very impactful in terms of consumer trends and what they want
193,"And so, that's very much a part of it"
194,"So, that's the bulk of it actually"
195,"There is also some of it that is related to our technological investments, in particular our digital investments, which we call Excalibur"
196,"So, we've talked about that"
197,"We have an investment day, where we're going to be talking about that in today or tomorrow in a lot more detail, but we see those technological investments"
198,"We've frankly already been making a lot, but I think we see the need increasing"
199,"And so, that is part of the increase that you're referring to"
200,"Yes, it does"
201,"Interestingly, when we talk about the two programs, Celebrity Revolution and Royal Amplified, really a lot of the thinking that's going into that is really thinking through how our guests spend is changing"
202,"and you'll start to see that when we bring these ships out of the modernization, the program that we've really reallocated space to generate better revenues in areas that we see guests now naturally gravitating to"
203,"Well, David, thank you"
204,I think you summarized my view accurately
205,I do think that the underlying strength of the industry is powerful and I think that will continue
206,I just think one needs to be a little bit realistic about how quickly you can move those things
207,"And so, we think, obviously, we are not trying to direct the organization to a level of yield increase"
208,We clearly want to maximize that
209,What we want to pivot the organization to is to provide the things that will drive consumer to our travel agents and to our website and basically to buy cruises
210,And hopefully that will result in continued strong yield improvement
211,"So, by saying moderate yield increase, I think we are really trying to telegraph that to get strong results, we don't need staggeringly large yield improvements"
212,"We are an industry where if we can get relatively moderate yield increases, that results in really very strong bottom line growth"
213,"But obviously if we can break out of the 2% to 4% range, as we did this year, we intend to exercise every effort we know how to accomplish that"
214,"So, obviously, I think that was a point I was trying to emphasize"
215,You have to look at both sides of that
216,You have to look at the supply side of it and the demand side of it
217,"And I absolutely agree with you, the increase in the supply is clearly a factor in that"
218,"I think the reason that I'm expressing confidence is that I believe that the increasing demand more than compensates for that, because the new ships are more attractive and they bring in more people and also they attract higher yields"
219,"So, I think we've tried to look at this"
220,"and we've tried to put the 2020 Vision together, taking into account all that we know about the next year"
221,â€
222,"“ the next few years and that includes the supply side, which, as you say, is a little bit higher than it has been"
223,"Tim, on your question on the rollout of Excalibur, the new digital system, it's pretty much going along the path that we had previously said"
224,"The hurricanes did mess us up a bit, obviously, disrupted operations for a good six to seven weeks and that probably caused a corresponding delay in some of the detailed rollouts"
225,"But overall, we are still expecting to be, and you'll see more of this tomorrow, of course, 12% or 13% by the end of 2017, half by the end of 2018 and almost everything by the end of 2019."
226,"So, by and large, as frustrating as the disruption was, that's pretty much going on track"
