,Sentences
64,"Non-GAAP operating expenses were $517 million, up 17% from a year ago, reflecting hiring for our growth initiative"
65,"GAAP operating income was $554 million and non-GAAP operating income was $637 million, nearly doubling from a year ago"
66,"For the first quarter, GAAP net income was $507 million"
67,"Non-GAAP net income was $533 million, more than doubling from a year ago, reflecting revenue strength as well as gross margin and operating margin expansion"
68,"For fiscal 2018, we intend to return approximately $1.25 billion to shareholders through share repurchases and quarterly cash dividends"
69,"In Q1, we issued $82 million in quarterly cash dividends"
70,"Now turning to the outlook for the second quarter of fiscal 2018, we expect revenue to be $1.95 billion plus or minus 2%"
71,"Excluding the expiry of the Intel licensing agreement, total revenue is expected to grow 3% sequentially"
72,"GAAP and non-GAAP gross margins are expected to be 58.4%, 58.6% respectively"
73,plus or minus 50 basis points
74,These reflect approximately a 100 basis points impact from the expiry of the Intel licensing agreement
75,GAAP operating expenses are expected to be approximately $605 million
76,Non-GAAP operating expenses are expected to be approximately $530 million
77,"GAAP OI&E is expected to be an expense of approximately $8 million, inclusive of additional charges from early conversions of convertible notes"
78,Non-GAAP OI&E is expected to be an expense of approximately $3 million
79,"GAAP and non-GAAP tax rates for the second quarter of fiscal 2018 are both expected to be 17% plus or minus 1%, excluding discrete items"
80,Further financial details are included in the CFO commentary and other information available on our IR website
81,"Finally, this week we are sponsoring our annual GPU Technology Conference here in Silicon Valley"
82,"Reflecting the surging importance of accelerating computing, GTC has grown to more than 7,000 attendees from 60 countries, up from 1,000 when we started eight years ago"
83,"Among its highlights, Jen-Hsun will deliver a news-filled keynote tomorrow morning"
84,"We have 550-plus talks, more than half on AI"
85,Developers will have access to 70 labs and workshops to learn about deep learning and GPU computing
86,"And we will award a total of $1.5 million to the six most promising companies among the 1,300 in our Inception program for AI startups"
87,We will be hosting our annual Investor Day tomorrow and hope to see many of you there
88,We will now open the call for questions
89,Please limit your questions to two
90,"Operator, will you please poll for the questions?"
91,Question-and-Answer Session
92,Thanks for the question
93,We feel good about the guidance that we're providing for Q2.
94,We wanted to make sure that it was understood the impact of Intel that's incorporated in there
95,"It's still too early, given that it's – to say about the same size of what we just finished in Q1 to make comments specifically exactly where we think each one of those businesses will end up"
96,"But again, we do believe data center is a super-great opportunity for us"
97,I think you'll hear more about that tomorrow
98,"But we don't have any more additional details on our guidance, but we feel good about the guidance that we gave"
