,Sentences
22,The sequential revenue gains were primarily based on higher Semi-Custom product shipments due to seasonality
23,"In addition, we reached an important milestone in the quarter, delivering initial EPYC server revenue"
24,"In our semi-custom business, unit shipments were up sequentially and down year-over-year as we enter the fifth year of the current game console sales cycle"
25,This console cycle continues to outpace previous cycles as Sony recently passed a milestone of 60 million PlayStation 4 consoles shipped
26,"Last month, Microsoft announced the new Xbox One X with availability in November"
27,This system will be Microsoft's smallest and most powerful Xbox ever made and will be based on the combination of high-performance CPU and GPU IP that only AMD can provide
28,"As we look at the remainder of the year and given the maturity of the current game console cycle, we expect semi-custom revenue to be down for the full year"
29,"In our server business, last month, we launched our EPYC family of high-performance datacenter processors, reentering the incredibly important $16 billion datacenter market and setting several new industry performance records"
30,"With up to 32 high-performance Zen cores and an unparalleled feature set, our EPYC family of processors deliver greater competitive performance at every price point across a full range of integer, floating point, memory bandwidth and I/O benchmarks and workloads"
31,"Our two-socket and one-socket EPYC CPUs are designed to deliver industry-leading performance on critical enterprise, cloud and machine intelligence workloads and provide a substantial TCO advantage"
32,"At our EPYC launch event, we were joined by more than 20 leading server manufacturers and global ecosystem partners who showcased optimized support and EPYC-optimized platforms"
33,"We received compelling endorsements from OEM, cloud providers and mega datacenter operators, including HP Enterprise, Dell, Baidu, and Microsoft Azure, with more than 20 EPYC-based platforms announced at launch"
34,And we expect an additional 20 EPYC platforms to be available in the second half of 2017.
35,"With the strong global ecosystem and customer interest we have built around our EPYC processor family, we are on track to reenter the datacenter market in a major way"
36,"In closing, we are very pleased with the trend of our quarterly results and how our products are positioned heading into the back half of the year"
37,"Our business foundation and growth opportunities are strong, based on our high-performance product portfolio and our expanding customer traction"
38,"Given our first half 2017 performance and our visibility into the third quarter, we are happy to report we are progressing ahead of our annual revenue guidance and we look forward to a strong year overall"
39,Now I'd like to turn the call over to Devinder to provide some additional color on our second quarter financial performance
40,Devinder?
41,Thanks for your questions
42,So we are very pleased with the reception to EPYC
43,The launch that we did in June was very well-received
44,"We had a number of customers as well as partners, OEM providers, ODM guys, as well as cloud providers who participated in that"
45,The general reception has been very positive
46,I would say that interest level is very high
47,"In fact, we're adding additional customer support to really ensure that we help customers get their platforms up and running"
48,"In terms of what to expect in the revenue ramp, we started shipping early volume in the second half of June"
49,We would expect that we continue to ramp that revenue through the second half of the year
50,We would expect some additional customer announcements in the second half of the year
51,"And then as we stated with both cloud and the enterprise accounts, depending on their qualification cycles, it can take anywhere up to four quarters to qualify the parts"
52,But so far so good
53,"I think very good traction, and we continue to lean in hard on the datacenter opportunities"
54,"Sure, Mark"
55,So certainly the overall quarter for Graphics was strong
56,"Q2 tends to be seasonally down, and we were up in the quarter"
57,So it was better than seasonal
58,I would say the better performance was due to two things
59,"First of all, we did launch our RX 580 and RX 570 gaming cards in April"
60,"And those cards are very, very well-positioned in the market, so they're doing well with gamers"
61,"Relative to cryptocurrency, we have seen some elevated demand"
62,"If you look at GPUs across the world, the inventory in the channel is actually quite lean"
63,And so we're working on replenishing that inventory
64,"Our priority, though, really is on our core market, which is the gaming market"
65,And so a couple of things that we are certainly doing are we're prioritizing supply towards the gaming market
66,"So you'll see system integrators, as well as on some of the major e-tailers we have bundles with Ryzen and Radeon"
67,"And then some of our partners are also offering mining specific cards that have a different feature set, such that we're really segmenting the market between gaming and mining"
68,"But it's important to say we didn't have cryptocurrency in our forecast, and we're not looking at it as a long-term growth driver"
69,But we'll certainly continue to watch the developments around the blockchain technologies as they go forward
70,"Thanks, Mark"
71,"Sure, Matt"
72,"So, look, I think the overall road map execution has been very good, very solid"
73,"I think our customers see that Ryzen performance, the EPYC performance on the CPU side, and then certainly the Vega performance on the GPU side have met our commitments"
74,"And the important thing, particularly in the enterprise market, as well as the commercial market, having a road map – a strong road map with multiple generations is important"
75,We stated at our Financial Analyst Day that we're already investing heavily in 7-nanometer
76,The 7-nanometer will be key for us on both the CPU and the GPU side
77,And I would say that development is progressing well
78,We're working with multiple foundries on that
79,"We have multiple design teams that are working, and we expect that that will give us a strong competitive road map for the next several generations"
80,"No, I think you covered it, Devinder"
81,"On the investment front, Matt, just to give you a little bit more color on that, I think we see tremendous opportunity in the datacenter around both CPU and GPU compute"
82,And so we're taking the opportunity with some of the strength in the business to make sure we lean in to those resources and fully pay off the product investments
83,"Good question, Ross"
84,"When you take a look at our client business, think of it as desktop and mobile"
85,"And then within the desktop segment, it's channel and OEM"
86,So Ryzen performed very well
87,I think the ASP contribution is very evident on the desktop line item
88,"But when we look at where we are in the progression of the Ryzen rollout, we're still in the early innings"
89,So we had our first full quarter of Ryzen Desktop in the channel
90,"The OEMs launch their desktop products in about mid-June, and so they just started selling at the end of June"
91,And that will flow through into the second half of the year
92,And the mobile products are still our legacy products
93,"So you saw the mobile ASPs were down slightly as we went from Q1 to Q2, and that was just a mix on some of the legacy business"
94,But the desktop ASPs were quite strong
95,And we should expect that as we go into the second half of the year and we have Ryzen really take off in the OEM sectors as well as once we introduce Ryzen Mobile towards the second half of the year is when you'll see sort of more of the full portfolio over to Ryzen
96,So I think you summarized the revenue guidance well
97,I think we see the Computing and Graphics business accelerating on the strength of the new products
98,We do have a bit of a year-over-year headwind when we compare game consoles
99,"When you look at our Q3 margin guidance, we are certainly up year-over-year 3 points, and so I think that's the strength of the product portfolio"
100,"I think as we get into the Q4 guidance, we'll talk more about the margin progression"
101,"But what we expected in terms of margin expansion with the premium products is certainly playing out, and that's helping the Q3 guide"
102,"Yes, David"
103,"We will be launching Vega, actually, in a week at SIGGRAPH"
104,"And yes, Vega will be shipping into gaming, into professional workstations, as well as into the GPU compute segment in the third quarter"
105,Yes
106,"So Ryzen notebook is on track to launch for the holiday platform sales, and so you should see OEMs launching Ryzen Mobile for the holiday period"
107,"So yes, we will see revenue in the second half of the year"
108,"Thanks, David"
109,"Sure, Ambrish"
110,"So I think from an overall standpoint, we see strong demand in graphics for the third quarter"
111,I think that's a mix of a couple things
112,That's a mix of gaming being seasonally stronger in the third quarter
113,That's a mix of inventories being very low in the channel
114,"And there is a crypto – probably, a cryptocurrency component as well relative to overall demand"
115,"When we look at it as a whole, though, we think that the growth in the business is really on the strength of the products and how the design wins, both OEM and as well as system integrators are improving"
116,"Now, how is it different than sort of a couple of years ago?"
117,I think we understand the market much better from the standpoint of the products are significantly stronger
118,"And so if you look at the product portfolio, not just the current sort of Polaris or RX 5 Series products, but the Vega product coming in, really opens up a larger TAM for us"
119,"And we are working with our add-in board partners to segment the markets in terms of the feature set that go into the cards, as well as prioritizing some of the gamer ecosystems"
120,So in terms of system integrator supply as well as bundling and OEM supply
121,So I think we are doing quite a bit to make sure that we protect against any downside as it relates to cryptocurrency
122,"But overall, I would view it as GPUs are strong, and we see GPUs continuing to be strong, and so it's a great market to be in"
123,"Yeah, Vivek, I think we are actually very pleased with sort of the conditions around the server market for us"
124,"I mean, it all starts as a good product or a great product"
125,And so I think the EPYC product performance is very important
126,But I think the other conditions that are different and perhaps even more favorable than in the past is the fact that the cloud datacenter guys are making up such a large piece of the market
127,and they tend to move faster in their qualification cycles given the fact that they have more control of their own software environment
128,So I think our differentiation is strong
129,"I think we have – we put out a product that is not only strong on basic CPU performance, but also offers much more flexibility in terms of what you can do with memory and"
130,I
131,/O
132,I think that value proposition is recognized by the customer set
133,So we certainly are looking to ramp the revenue as fast as possible
134,"Obviously, we continue to watch the competitive market"
135,It's been an exciting market
136,Some would say from a product standpoint there has been a bit of back-and-forth already
137,"We feel good about how our products are positioned not just today, but how they will be positioned over the next 18 to 24 months"
138,And so we're going to be very focused on ensuring that we lead with the product message
139,"Of course, there's a go-to-market element and all of that around that, but I think the competitive environment right now is very focused on product competitiveness"
140,"So I think, Vivek, you're referring to when we initially launched Ryzen 7, there were some games, particularly in 1080p resolution, that were not as good as some of the higher resolutions"
141,I believe we've worked around a lot of that
142,"We've seen game developers,"
143,content developers really sort of support the Ryzen ecosystem
144,I've actually been very happy with how they've jumped on the support of it
145,"We have been continuing to improve the ecosystem, so if you look at the motherboards and if you look at the memory capability, they've significantly improved just in last three or four months"
146,"I think you'll see as we go through Threadripper launch, which is coming up very shortly, that the Ryzen ecosystem is strong"
147,"And as it relates to EPYC, I think very similar comments"
148,"I think the ecosystem has been very supportive of the EPYC processor family, and so I don't see that as an issue"
149,"I would say, Joe, we have a broad set of customers that we're engaging with"
150,"So, definitely we see top-tier cloud guys very engaged with EPYC and talking about a number of different instances"
151,"Microsoft Azure was at our launch event, and Baidu was at our launch event, and we're working with a number of other cloud vendors as well"
152,But we also have a very strong OEM support base as well
153,"So with HPE and Dell putting out a number of platforms with EPYC, I think that will ramp enterprise customers in 2018 as well"
154,So I view it as really both sides of the equation are important for 2018.
155,"I think we will see cloud be a little lumpier, so certainly they tend to buy in stages"
156,"So they may be a little bit lumpier, but"
157,I think overall we are very focused on both cloud and enterprise accounts
158,Yeah
159,"Joe, it was completely a function of demand, demand within lead time"
160,"I think from a supply standpoint we've had a very strong supply chain across the board, across both CPU and GPUs"
161,"We are, as I said, in the process of catching up to demand, and so we're certainly increasing some of the production, and that was Devinder's comment about some of the working capital and some of the inventory comments"
162,"Overall, though, I think we're going into a stronger second half of the year"
163,So it's not unexpected for us to ramp up production
164,"It's just demand was quite strong, particularly in the April"
165,", May timeframe is when we saw a spike, and it takes some time to react to those signals"
166,Yeah
167,"Again, Hans, I think we have been working closely with a number of different customers, including in virtualized environments"
168,"We see no particular issues, other than just getting their platforms up and running"
169,And so I think we continue to believe EPYC will do very well in those environments
170,Yeah
171,"Hans, actually, the feedback has been actually quite good"
172,"And I think, what we are able to do – obviously, it's a decision to make"
173,", right?"
174,"We could've built one big monolithic chip, or we decided very strategically to build a modular approach, because it just gives us so much flexibility when we talk about the combination of CPU cores and I"
175,/O
176,"So, so far so good"
177,"I think there is some work to do to make sure that the latencies are appropriately taken care of, and the customers are working with us on that"
178,"I think the flexibility is really, really appreciated, particularly when you look at what we can do with single-socket servers as well"
179,So we feel very good about where EPYC is positioned
180,"I think the customer feedback continues to be very strong, and our goal is to get as many platforms out as possible with EPYC this year"
181,"So yes, John"
182,Let me answer that
183,"When you look at our typical seasonality, as you said, we tend to be down in Q4."
184,"Now, semi-custom is still a large, large piece of our business, and semi-custom will peak in Q3 and it will come down in Q4."
185,I also think that we want to be cognizant of the fact that some of the graphics demand that we see might be temporal
186,So we're not counting on that staying through the full year
187,We'll see what happens
188,"Frankly, I think we'll see what happens with the whole mining stuff"
189,"But I think when you look overall, I think that it shows that the business is strengthening"
190,And so we like the growth very much
191,Ryzen will continue to grow through the second half
192,EPYC will continue to grow through the second half
193,Vega and our GPU business will continue to grow through the second half
194,"And the only headwind that we have is sort of the game console business, just as part of normal seasonality"
195,And then relative to the profit statement
196,"So I think there are a couple points, John, that I want to make sure that we're clear about"
197,"Although OpEx is going up and R&D is going up, we're doing it in a very thoughtful fashion, and so staying within the confines of the business model is really important"
198,"And as Devinder said earlier, our model that we laid out at Financial Analyst Day for 2017 has us, let's call it at approximately 31% ER, and we're going to stay within that model for sure"
199,"Now, relative to priorities in R&D, it is very much focused on sort of the new growth areas for us, very much focused on datacenter and very much focused on GPU compute, so around machine learning and"
200,sort of the entire compute space on the GPU side
201,"It is fairly incremental in terms of adding things like customer support, field application engineering, software support, given that we're familiarizing people with our architecture"
202,So I think it's good
203,"We're happy that the business affords us the ability to increase R&D in this timeframe, and we're using it to accelerate our growth in these high-margin markets"
204,John W
205,Pitzer - Credit Suisse Securities (USA)
206,LLC Thank you
207,"So, Vijay, without getting too granular about percentage of EPYC revenue, I think what we've said is our target for EPYC, we sort of have -- the midterm target is to get back to double-digit market share, so over 10%"
208,We think that we have a product and a customer set in an environment that does support that
209,"It will take longer than this year to get there, so I think this is the multiple-quarter ramp for us, but in terms of how we've laid out the business model, I mean, that's all contemplated sort of in our overall growth model for 2017."
210,"As it relates to margins, again, without being very specific, I would say the EPYC margins are highly accretive, even at our current sort of pricing, which offers, I would say, significant value to the customer"
211,I think it also gives us significant credit for the capability of the product
212,And so the margins are accretive to our business model
213,"Yes, yes"
214,"The Radeon Instinct, similarly, has a lot of interest from the marketplace"
215,A number of different applications
216,We started shipping actually in July to some strategic datacenter customers
217,We see that interest continue to ramp
218,"There I think it is – this is definitely a lumpy business, and so it goes –"
219,"as a cloud guy puts on a new instance, you would see a larger buy"
220,And that's the way it would work
221,"But again, very good market"
222,I think we're in the very early part of the growth trajectory for AMD in these markets
223,And we'll continue to invest and work closely with customers to ramp those platforms
224,We're being conservative in our estimates for what will happen as we get in the fourth quarter
225,I think the visibility is it's not – it's anyone's guess at this moment
226,"However, I think what we are doing very clearly is prioritizing sort of the core customer set so that we're segmenting the market"
227,"You can never segment it perfectly, but I think we are segmenting it well"
228,And we continue to be very closely in tune with our partners and how this develops
229,And my expectation is that there will be a leveling off of the demand at some point
230,"And as we fill the channels, that will become clear what the level-off point is"
231,"But right now, as we said, the channel inventories are very low"
232,"And so it's hard to call the absolute demand, and we're ensuring that we're not over-calling the demand"
233,"Thank you very much, Operator"
234,We appreciate everyone being with us today
235,We look forward to spending more time with you in the coming quarter and thank you for your time
